split,review_id,source,category,product_name,raw_text,aspect,sentiment_text,sentiment_polarity,model_input,label,original_aspect,normalization_reason
train,1026054,SNS,스킨케어,OO 울** 페이셜 수분 크림 125ml,"OO에 수분 크림만 있는 건 아니지만, 수분 크림 없는 OO은 상상하기 어려울 정도예요. OO을 대표하는 OOO 크림을 사용해 봤어요. 환절기라 그런지 피부가 예민할 때라서 부작용 나면 어쩌나 약간 걱정하면서 발랐어요. 일단 무향이라서 왠지 안심이 됐고, 살짝 찍어서 펴 발라 보니 적은 양인데도 촉촉하게 잘 발려서 '이거 괜찮네?' 했어요. 입가에 생겼던 오돌토돌한 트러블도 진정이 되고, 건조증이 좀 완화되더라고요. 가격이 비싸서 그냥 평범한 크림이면 실망할 뻔했는데, 비싼 가격 받을 만한 품질이라는 생각이 들었어요. 가격대가 있는데도 꾸준히 잘 팔리는 제품은 역시 뭔가 다르네요.",보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1026054,SNS,스킨케어,OO 울** 페이셜 수분 크림 125ml,"OO에 수분 크림만 있는 건 아니지만, 수분 크림 없는 OO은 상상하기 어려울 정도예요. OO을 대표하는 OOO 크림을 사용해 봤어요. 환절기라 그런지 피부가 예민할 때라서 부작용 나면 어쩌나 약간 걱정하면서 발랐어요. 일단 무향이라서 왠지 안심이 됐고, 살짝 찍어서 펴 발라 보니 적은 양인데도 촉촉하게 잘 발려서 '이거 괜찮네?' 했어요. 입가에 생겼던 오돌토돌한 트러블도 진정이 되고, 건조증이 좀 완화되더라고요. 가격이 비싸서 그냥 평범한 크림이면 실망할 뻔했는데, 비싼 가격 받을 만한 품질이라는 생각이 들었어요. 가격대가 있는데도 꾸준히 잘 팔리는 제품은 역시 뭔가 다르네요.",가격,가격이 비싸서,-1,[속성] 가격 [문장] 가격이 비싸서,,가격,unchanged
train,1026563,SNS,스킨케어,OO 크** 콜라겐 1매,완전 대박 상품 가져왔습니다!!! 왜 이 제품을 이제야 알았을까요..? 더 빨리 알았다면 지금보다 피부가 더 좋아졌을 것 같습니다 ㅋㅋㅋㅋ 후기 바로 알려 드리도록 할게요~^^ 지인 추천을 받아서 사게 된 제품이네요! 처음에는 가격이 비싸서 살짝 고민은 했지만 진짜 사길 잘한 것 같아요!! 안 샀더라면 평생 이 제품은 안 썼을 것 같습니다..ㅠㅠㅠ 일단 고무 팩인데 사용하기 정말 편리한 것 같아요 팩과 앰플이 따로 담아져 있어서 좋은 것 같습니다!! 그리고 팩 향도 저는 부담이 없어서 좋았고 사용 후에 피부가 정말 촉촉해져서 좋은 것 같습니다~~ 한 달 정도 사용했는데 피부 트러블도 없는 걸 보면 좋은 제품인 것 같습니다 이 제품 정말 대박 상품이에요!! 팩 중에서 제일 좋지 않을까 생각이 드네요!! 추천 하고 싶은 팩입니다~^^,가격,가격이 비싸서,-1,[속성] 가격 [문장] 가격이 비싸서,,가격,unchanged
train,1026605,SNS,스킨케어,OO T** 콜라겐 크림팩 ,광고 보고 급하게 구입한 제품입니다! 요새 피부가 너무 건조해서 관리 해보려고 구입을 했습니다... 하지만 그렇게 좋지 않아서 추천 드리고 싶지는 않네요 일단 제형이 너무 꾸덕해서 바르기 어려워요!! 그리고 꾸덕한 제형 억지로 펴 바르려고 힘을 주면 피부에 자극이 오는 것 같습니다...ㅠㅠ 게다가 좀 많이 바르고 싶은데 양이 너무 적어서 많이 바르지도 못하네요....ㅠㅠ 또한 향도... 개인적으로 너무 약품 냄새가 많이 나는 것 같아 별로였습니다 ㅠㅠ 효과라도 좋으면 만족하는데 효과도 미미한 것 같아 크게 추천 드리고 싶은 제품은 아닙니다!! 하루 사용하고 너무 힘들어서 사용을 안 하게 되네요~ 남은 제품은 동생 갖다 줘야겠습니다..ㅠ,제형,제형이 너무 꾸덕해서,-1,[속성] 제형 [문장] 제형이 너무 꾸덕해서,,제형,unchanged
train,1027259,SNS,스킨케어,OO 멜** 앰플 매니아구성,요즘 배우 OO를 텔레비전에서 보면서 변치않는 아름다움을 간직한 비결에 대해서 궁금해져서 직접 제작에도 참여했다는 OOO OO을 사용해보았어요. 이 앰플은 눈에 보이는 기미부터 속기미까지 케어 할수 있다는 말이 눈에 쏙 들어오더라구요. 용기의 뒷부분이 주사기처럼 누르는 형태로 되어있어 기미있는곳에 집중해서 톡톡 발라 줄수 있네요. 좀 묽은 제형이지만 촉촉하게 잘 펴발라지고 바른후 잘 흡수되어 피부가 광채가 살아나는 느낌이었어요. 앰플부터 크림까지 발라준다면 더욱 큰 효과를 볼수 있다는 느낌이 드네요!!,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1027262,SNS,스킨케어,OO 주** 멀티밤,저는 피부는 항상 좋다고 생각하고 있었어요. 그런데 어느날 목과 눈가에 주름을 보고 깜짝 놀랐어요 ㅠㅠ진작 관리 좀 할껄 하고 후회 했답니다 ㅠㅠ그래서 전부터 눈여겨 보던 OO멀티밤을 주문 했습니다!! 마침 콜라겐앰플도 같이 보내주시는 행사를 하더라구요 너무 감사했어요^^ 구성도 알차서 바로 구매했네요~ 도착하자 같이 온 콜라겐 앰플을 듬뿍 발랐더니 흡수도 잘 되고 좋네요 ㅎㅎ 엄청 부드럽게 발리고 목이나 눈가에 촉촉하게 충분히 발라지네요~~피부도 따갑지않고 순수한 성분인것 같아 좋아요!! 하루종일 피부가 촉촉해져서 좋습니다! OO 멀티밤으로 꾸준히 관리해보려구요~,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1027992,SNS,스킨케어,OO 스** 에센셜 클렌징 폼 250ml,선물 받아서 처음으로 사용한 OO 제품인데 20년 정도 꾸준히 사용하고 있습니다. 이렇게 오래 쓰는 제품 잘 없을 거 같은데... 이번에 클렌징 폼 하나에 사은품을 3개나 주셔서 얼른 구매했어요. 사은품인데도 생각보다 양이 많아서 오래 쓸 수 있을 것 같아요. 무향에 피부 자극도 없고 세정력도 좋은 제품이라 장기간 꾸준하게 사용하고 있습니다. 나이대에 상관없이 쓸 수 있는 제품인 거 같아요. 제가 20년 정도 꾸준하게 잘 쓰고 있는 좋은 제품이란 생각이 들어 늘 추천하게 되는 제품이에요.,향,무향에,1,[속성] 향 [문장] 무향에,,향,unchanged
train,1027993,SNS,스킨케어,OO 스** 에센셜 클렌징 폼 250ml 기획세트,이 제품 오래전부터 나온 제품인 거 같은데 순한 클렌징 폼이라고 하길래 구매해 봤어요. 택배 도착해서 뜯었더니 엄마가 예전에 쓰던 건데 어떻게 이걸 샀냐고 물으시네요. 너무 오래전 제품을 산 건가 좀 걱정이 되긴 하더라고요. 반품하면 왕복 택배비 부담해야 하니까 상품평 믿고 쓰기로 했죠. 거품이 잘 나지는 않는데 클렌징은 잘 되었어요. 향도 나쁘지 않고 가격도 이만하면 저렴한 편인 거 같고 용기가 펌핑해서 쓰는 거라 사용하는 것도 편해서 괜찮았어요. 전체적으로 괜찮은 클렌징 폼인 거 같아요~~~,향,향도 나쁘지 않고,0,[속성] 향 [문장] 향도 나쁘지 않고,,향,unchanged
train,1030075,SNS,스킨케어,OO 어** 나이트 리페어 세럼,"안녕하세요~ 겨울이지만 겨울 같지 않은 요즘이지만 겨울을 위한 제품인 듯한 OOO 세럼을 들구 와봤어용! 정말 정말 유명한 제품이죠ㅎㅎ 얼마 전에 행사도 한 걸로 기억하는데, 모두들 잘 사용하고 있는 제품인가봐요ㅎㅎ 저는 사실 불호인 제품이네요! 그 이유는 다름 아닌 향이 별로예요…ㅎ 저는 향에 민감한 편인데 이 제품의 향이 저랑 너무 안 맞았어요… 얼굴에 바르는 거라 바를 때만 참는다고 해도 향이 남아서 계속 코 근처에 맴돌아서 너무 고통스러웠던..ㅠ 그래도 제형이 쫀쫀하고 촉촉하게 잘 흡수되어서 좋은 것 같더라구요! 저처럼 향에 민감하신 분들은 향 한번 시향하는 걸 추천드려요~",제형,제형이 쫀쫀하고,1,[속성] 제형 [문장] 제형이 쫀쫀하고,,제형,unchanged
train,1030075,SNS,스킨케어,OO 어** 나이트 리페어 세럼,"안녕하세요~ 겨울이지만 겨울 같지 않은 요즘이지만 겨울을 위한 제품인 듯한 OOO 세럼을 들구 와봤어용! 정말 정말 유명한 제품이죠ㅎㅎ 얼마 전에 행사도 한 걸로 기억하는데, 모두들 잘 사용하고 있는 제품인가봐요ㅎㅎ 저는 사실 불호인 제품이네요! 그 이유는 다름 아닌 향이 별로예요…ㅎ 저는 향에 민감한 편인데 이 제품의 향이 저랑 너무 안 맞았어요… 얼굴에 바르는 거라 바를 때만 참는다고 해도 향이 남아서 계속 코 근처에 맴돌아서 너무 고통스러웠던..ㅠ 그래도 제형이 쫀쫀하고 촉촉하게 잘 흡수되어서 좋은 것 같더라구요! 저처럼 향에 민감하신 분들은 향 한번 시향하는 걸 추천드려요~",보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1030100,SNS,스킨케어,OO 판**  앰플 30ml ,안녕하세요~ 겨울에 곁에 둘 친구를 찾고 있던 중 OOO 블레미쉬 앰플을 만났어요~ 후기 올립니당~ 계속 사용하던 앰플을 다 써서 이 제품에 새롭게 도전을 해보았습니다ㅎㅎ 기존에 사용하던 앰플과 달리 이 제품은 가벼운 제형이고 피부가 보들보들해지는 느낌도 없어요. 그래서 그런지 보습감이나 수분감이 막 느껴지는 제품은 아니라서 조금 아쉽더라구요… 이제 겨울이 다가오는데 이 제품은 가을겨울에는 사용하기 별로네요. 봄여름에 잘 사용할 수 있는 제품일 것 같아요~ 여러분들이 사용하시는 겨울용 앰플이 있나요? 공유해 주세요~,제형,가벼운 제형이고,0,[속성] 제형 [문장] 가벼운 제형이고,,제형,unchanged
train,1030134,SNS,스킨케어,OO UV프로텍터 멀티 디펜스 50ml 1개,당연히 선크림은 필수로 발라줘야하니까 나한테 맞는 제품을 찾는 게 중요한데 이때까지 이만한 거 못 찾았습니다.!! 보통 선크림 제품들은 백탁현상이 있어서 바르면 허옇게 얼굴에 뜨는데 이거는 백탁현상 같은 게 없었습니다. 오히려 로션제형이라 좋고 바르면 촉촉하게 잘 발리고 뜨는 거 없이 피부에 광이 돌았습니다. 촉촉해서 좋고 선크림이 끈적인다거나 제형이 묵직하지 않아서 좋아요. 가볍게 바르기 좋아서 저는 외출할때도 꼭 들고 나가서 수시로 얼굴에 발라주고 있어요. 앞으로도 계속 사용할 거예요. 여러분들도 한번 사용해보세요~,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1031096,SNS,스킨케어,OO 보** 단백질 크림 50ml,단백질 크림이 필요해서 찾아 보다가 알게 된 제품입니다! 온 가족이 사용하고 있는데 다 좋다고 해서 추천 드리고 싶어 가져 왔습니다~ 단백질 크림 찾으실 땐 이 제품 추천 드리고 싶어요! 정말 품질이 좋습니다~ 수분감도 좋고 바르면 피부가 촉촉해져 좋습니다! 성분도 좋아 피부 트러블도 생기지 않네요~ 저희 가족이 피부 타입이 다양한데 다 잘 사용하는 걸 보면 모든 피부 타입에 잘 맞지 않나 생각이 듭니다! 향도 무난하고 발림도 좋아 바르는 맛이 있는 제품이에요~~ 가성비 좋습니다! 단백질 크림은 무조건 ㅇㅇㅇ단백질 크림 50ml 추천 합니다!! 최고에요,향,향도 무난하고,1,[속성] 향 [문장] 향도 무난하고,,향,unchanged
train,1031206,SNS,스킨케어,OO 이** 턴오버 28 어드밴스드 트루 클렌징폼 180ml 1개,언니가 화장품 구매하는 거 좋아해서 이런저런 제품 다양하게 많이 써보게 됩니다. 인터넷 검색하다가 사용해 보고 싶어서 주문했다고 하네요. 언니가 먼저 써보더니 사용감 괜찮고 수분감도 좋다고 하면서 거품은 생각보다 많이 안 나서 아쉬웠고 했어요. 저는 향이 무난하고 피부에 자극적이지 않아 괜찮은 거 같았어요. 언니와 제 피부에 잘 맞는 거 보면 모든 피부에 잘 맞는 제품일 듯합니다. 매번 언니가 구매하는 제품 쓰니까 돈 안 들어가고 좋네요ㅎㅎㅎ,향,향이 무난하고,1,[속성] 향 [문장] 향이 무난하고,,향,unchanged
train,1031228,SNS,스킨케어,OO 해** 클렌징폼 200g 1개,개인적으로 거품 많은 제품을 좋아해요. 리뷰 보고 구입했는데 제품 제형이 쫀쫀해서 거품 잘 안 날까 걱정했는데 사용해 보니 거품이 많아서 만족하고 잘 쓰고 있는 제품이에요. 이거 쓰기 전에 구입했던 제품 중에 다른 건 다 만족인데 거품이 풍부하지 않아 실망이었거든요. 이건 거품도 엄청 잘나고 세정력이 너무 좋아요. 가격도 저렴하고 용량도 많고 유통기한까지 긴 제품이라 만족 안 할 수가 없네요~ 거품 풍부한 제품 찾으시면 이 제품 만족하실 거예요. 추천!!!,제형,제형이 쫀쫀해서,0,[속성] 제형 [문장] 제형이 쫀쫀해서,,제형,unchanged
train,1032471,SNS,스킨케어,OO 프로폴리스 앰플 ,"환절기라 피부도 건조하고 트러블도 생겨서 평소 얘기를 많이 들었던 OO OOO 앰플을 구입했습니다 앰플은 제형이 쫀쫀하고 촉촉하고 피부에 잘 스며들었어요. 기분이 좋더라구요~ 근데 ....아침,저녁으로 계속 발랐는데.... 반병정도까지 발랐는데 아직 크게 좋아진 걸 효과는 잘 모르겠네요 ㅠㅠ 피부결도 보습도 ... 제 기대가 너무 큰 걸까요? 가격도 비싼데 ....조금 실망 했어요 그래도 남은 건 꾸준히 써야겠네요 쓰다보면 피부가좀 더 촉촉하고 보습도 좋아지겠죠 ㅎ",제형,제형이 쫀쫀하고,0,[속성] 제형 [문장] 제형이 쫀쫀하고,,제형,unchanged
train,1032519,SNS,스킨케어,OO 단** 앰플 35ml,친구에서 생일선물로 OO OOO 앰플을 받았습니다. 처음 선물로 받고 너무 좋아 재구매하게 되었네요 ㅋㅋ 건성피부인 저는 물처럼 흐르는 제형을 보고 갸웃했지만 촉촉하게 빨리 스며들더라구요. ㅎㅎ 피부결이 정돈되고 속당김도 거의없이 얼굴색이 밝아져요 성분에 단백질 함양이 높아서인지 크림도 필요 없는 마법 같은 앰플이에요 ㅋㅋ 근데 용기 입구가 커서 ... 제형도 묽은데....양조절이 어렵고 좀 위생적이진 않은 건 같네요..스포이드 같이 덜어쓰는 것 있으면 좋을것 같아요 ㅎㅎ 어쨌든 저는 재구매 합니다.강~추!!!,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1032670,SNS,스킨케어,OO 울** UV 디펜스 선스크린 ,안녕하세요~ 아직 겨울에 쓸 선크림 고민 중이신가요~ ㅇㅇㅇ ㅇㅇ 선스크린 후기 보고 딱 정하세요~ 저도 여러 번 이것저것 다 써봤지요~ 몇 번을 갈아탔다가 다시 ㅇㅇㅇ로 돌아오게 되더라구요~ 이 중독성 있는 ㅇㅇㅇ만의 수분감 정말 특별한 것 같아요~ 톡톡 두드려서 펴 발라주면 잘 스며들어 촉촉함이 피부 속에서부터 올라오는 것 같은 느낌? 다른 제품은 화끈거리고 당겨서 건조한 느낌도 있는데 이 ㅇㅇㅇ은 발라도 트러블도 없고 촉촉하게 피부를 진정시켜주는 그런 제품이에요. 이제 어떤가요~ ㅇㅇㅇ로 정착하세요~ㅎ,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
train,1032929,SNS,스킨케어,OO 퓨** 클렌징 오일 300mlX2 더블기획,1등 하는 클렌징오일이래요. 뭐가 어떻게 좋은지 해부해 보겠습니다. 좋다고 많이 듣긴 했는데 가격이 비싸서 안 샀거든요. 이번에 세일해서 저렴하게 팔기에 사 봤습니다. 대용량이기까지 해서 한동안 걱정 없이 쓰겠어요. 자극 없이 순하고 깨끗하게 잘 씻어 줍니다. 포인트메이크업까지 한 방에 지워주고 그런 건 아니지만 순하면서 이 정도 세정력이면 괜찮다고 생각해요. 향도 산뜻해서 클렌징할 때 기분이 좋습니다. 유분감을 과하게 빼앗아가지 않으니까 세안 후에 피부가 편안~해요. 다 쓰면 재구매할 생각입니다. 저도 여기에 정착할 듯해요.,가격,가격이 비싸서,-1,[속성] 가격 [문장] 가격이 비싸서,,가격,unchanged
train,1034214,SNS,스킨케어,OO 희** 콜라겐 3종 세트,나이가 드니 기초제품 고르는 것도 고민되네요. 피부에 알러지까지 생겨 자극적이지 않은것을 써야할 것 같아 더 고민하다가 OO OOO를 구입했답니다^^~ 향도 나쁘지 않고 크림까지 세트로 구성되어 있어좋았고 또 세트로 가격도 저렴하네요 ㅋㅋ 일단 순해서 좋았었어요^^ 알러지가 있는 피부인데 자극적이지 않더라구요. 여름에도 당기는 피부인데 수분감이 좋고 가볍게 발려서 흡수도 잘되더라구요. ㅎㅎ 근데 보습력은 조금 부족한 것 같네요 ㅠㅠ 보습이 좋아야 안티 에이징도 될것 같은데... 순하기는 제일인데 보습은 좀 더 지켜 볼게요^^~,향,향도 나쁘지 않고,0,[속성] 향 [문장] 향도 나쁘지 않고,,향,unchanged
train,1034954,SNS,스킨케어,OO 크** 에센스 45ml ,"늘 마스크를 쓰고 다니니 얼굴도 거칠어지고 피부 탄력도 없고 피부톤도 아니고ㅠㅠ... 우울해지는 요즘 구매한 OO OOO 입니다^^~ 처음 들어 본 브랜드여서 살까 말까 고민하다가 착한성분으로 만들어진것 같아 광고에 혹해서 구입 했네요 ㅋㅋ 자기전에 바르니 단번에 물광이 도는 것은 아니고 보들보들 해지는게 점차 피부결도 개선되드라구요 물광이 생기겠죠 ㅎㅎ 피부톤이 맑아지고 있어 좋아요 근데 유분감이 있어서 지성이신 분은 좀 답답하실것 같네요 아침,저녁바르니 양도 조금 부족한 것 같네요ㅠㅠ.... 좋아서 다시 1 +1할때 재구매 했어요^^~~~",보습력/수분감,유분감이 있어서,-1,[속성] 보습력/수분감 [문장] 유분감이 있어서,,보습력/수분감,unchanged
train,1034999,SNS,스킨케어,OO 더** 크림 모이스춰라이징 밤 50ml ,제가 얼마 전에 생일이였거든요ㅎㅎ 생일선물로 이 제품을 받아서 리뷰도 같이 해볼려고 해요~ㅎㅎ 제품명을 보고 예상했다시피 수분크림입니다! 여느 수분크림과 마찬가지로 굉장히 가볍고 촉촉하게 잘 발려요~ 수분에 집중한 게 보이는 제품이였어요ㅎㅎ 저는 속건조가 심해서 웬만한 수분크림으로는 이 건조함이 안 잡히는데 역시나 이 제품도 수분감은 조금 부족하더라구요ㅠㅠ 그래도 화장하기 전에 가볍게 바르는 용도로 잘 사용할 것 같습니다~ 가볍고 촉촉한 수분크림 찾으시는 분들께 이 제품 추천드려요~!,보습력/수분감,촉촉하게,1,[속성] 보습력/수분감 [문장] 촉촉하게,,보습력/수분감,unchanged
